name;type;link;address;zipcode
River's King Paris;Club;http://www.riversking.fr;Avenue du PrÇsident-Kennedy;75016
RomÇo (Le);Club;http://www.leromeo.fr/;71 boulevard Saint-Germain;75005
Rouge Pigalle (Le) (pire site);Club;http://rouge-club.com/french/#/agenda;77 Rue Jean-Baptiste Pigalle;75009
Sens (Le);Club;;23 Rue de Ponthieu;75008
Showcase Paris;Club;http://showcase.fr/;Sous le Pont Alexandre III, Port des Champs êlysÇes;75008
Silencio (Le);Club;http://www.silencio-club.com;142, rue Montmartre;75002
Six Seven (Le);Club;http://www.sixseven.fr;67 rue Pierre Charron;75008
Social Club;Club;http://www.parissocialclub.com/;142 rue de Montmartre;75002
Tigre (Le);Club;http://tigrebylalternative.fr/;5 rue Moliäre;75001
Titty Twister;Bar+;http://www.letittytwister.com/;5 Rue de Berri;75008
Trianon (Le);ThÇÉtre/Salle de Concert;http://www.letrianon.fr/;80 Boulevard de Rochechouart;75018
Tunnel;Club Underground êlectro;http://www.tunnelparis.com/;48 Boulevard Exelmans;75016
Villa (La);Bar/Restaurant/Club;http://www.lavilla-paris.com/;37 Ave de Friedland;75008
Villette EnchantÇe (La);Club;http://www.lavilletteenchantee.fr;211 avenue de Jauräs;75019
VIP Room (Le);Club;http://www.viproom.fr/;188 bis rue de Rivoli;75001
Virgo (tout nouveau, style berlinois);Club;http://www.virgo.paris/en/;34 rue du DÇpart;75015
W PARIS-OPêRA;Club;http://www.wparisopera.fr;4 rue Meyerbeer;75009
Wanderlust;Club/Restaurant;http://wanderlustparis.com/;32 Quai d'Austerlitz;75013
YOYO;Club;http://yoyo-paris.com/;20 avenue de New York;75116
Zig Zag Club;Club;http://zigzagclub.fr/;32 Rue Marbeuf;75008
